group,subject,q,RR_1D_x,DET_1D_x,ENT_1D_x,RR_2D_xy,DET_2D_xy,ENT_2D_xy
control,control_group_1,2,0.051263794944820223,0.75,1.6494811899139308,0.027945888216447133,0.821656050955414,2.08290065991191
control,control_group_10,2,0.05975294455616202,0.8149038461538461,2.0550425760351874,0.0308819304797472,0.8232558139534883,1.9323604131353809
control,control_group_11,2,0.05881076388888889,0.7859778597785978,1.9627073351715354,0.04079861111111111,0.8776595744680851,2.5530471733447264
control,control_group_12,2,0.08830458060678167,0.858259229318243,2.4496743611008256,0.053325401546698396,0.8625613565372602,2.495957228610629
control,control_group_13,2,0.0678,0.8731563421828908,1.997178836927276,0.0318,0.8490566037735849,1.9267497585609585
control,control_group_14,2,0.05161078238001315,0.6815286624203821,1.3045163290432813,0.029585798816568046,0.8111111111111111,1.7917374334224665
control,control_group_15,2,0.04774305555555555,0.75,1.6550384187005263,0.026909722222222224,0.7661290322580645,1.680165331217427
control,control_group_16,2,0.05802469135802469,0.7276595744680852,1.8679423072220211,0.02962962962962963,0.8083333333333333,1.8143919976736127
control,control_group_17,2,0.0645729850985419,0.8411910669975186,1.624571421649822,0.04182022111841051,0.8850574712643678,2.094230966081864
control,control_group_18,2,0.06258573388203018,0.810958904109589,1.940365981288485,0.037037037037037035,0.9027777777777778,2.475642876269144
control,control_group_19,2,0.04912381499569089,0.7076023391812866,1.6038561897747248,0.030163746049985635,0.8666666666666667,1.7381493331928664
control,control_group_20,2,0.06432748538011696,0.7607655502392344,2.034353905017528,0.04401354262850108,0.8741258741258742,2.1440377841787277
control,control_group_21,2,0.06711642628466914,0.9595734861099616,4.043903724925634,0.022883452258767256,0.9670434113566512,4.208673575400127
control,control_group_3,2,0.05817111815301041,0.8482490272373541,2.2235431475670886,0.04640108646446356,0.9024390243902439,2.5006399613291164
control,control_group_4,2,0.06067816775728733,0.8333333333333334,2.262596704725919,0.041939321832242714,0.9361702127659575,2.71312342568541
control,control_group_5,2,0.06328943832303144,0.8343949044585988,2.2002339117389624,0.030636925557645793,0.8771929824561403,2.5468640821315036
control,control_group_6,2,0.07725169099323603,0.8773041474654378,2.615294828935089,0.04587931648273407,0.871968962172648,2.389062801362771
control,control_group_7,2,0.06177777777777778,0.837410071942446,2.493690794113393,0.03475555555555555,0.8670076726342711,2.4997472865539088
control,control_group_8,2,0.07308641975308643,0.875,2.5493286439991865,0.050123456790123457,0.8916256157635468,2.7723477236302903
control,control_group_9,2,0.07174744897959184,0.8222222222222222,2.369042596346428,0.042889030612244895,0.8921933085501859,2.9916370935847496
