filename,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
m13q5_preprocessed_calibrated.csv,13,5,0.0649430594028932,0.1172668513388735,0.8104265402843602,0.7900262467191601,2.013164510802057,2.3286016065746846
m14q1_preprocessed_calibrated.csv,14,1,0.06118700923895729,0.09911733288356665,0.8891271056661562,0.9039515976555115,2.7027072073709477,2.5928956666057665
m14q2_preprocessed_calibrated.csv,14,2,0.0845058792442859,0.11332408508389484,0.9626734414696111,0.9398134654619644,3.831895880393619,3.6294535698604204
m14q3_preprocessed_calibrated.csv,14,3,0.05969135802469136,0.08537037037037037,0.8614270941054809,0.7939262472885033,2.4974802372127765,2.150767871866203
m14q4_preprocessed_calibrated.csv,14,4,0.0331677615766704,0.08095657747155904,0.7475845410628019,0.7053438891637803,1.9113601880497726,1.9670627271576973
m14q5_preprocessed_calibrated.csv,14,5,0.0440771349862259,0.07483930211202938,0.75,0.7177914110429447,1.771437029461126,1.6707051063844232
m15q1_preprocessed_calibrated.csv,15,1,0.07007639294922792,0.15676369945077592,0.9017918205443852,0.9145215530418832,2.7248138032888543,2.7347091211367722
m15q2_preprocessed_calibrated.csv,15,2,0.02834294502114571,0.07238754325259515,0.8079218665219751,0.8092203101763331,1.9760185630506397,1.922442891378562
m15q3_preprocessed_calibrated.csv,15,3,0.03656509695290859,0.06132963988919667,0.806060606060606,0.7371273712737128,2.3264302268246175,2.0007067258511504
m15q4_preprocessed_calibrated.csv,15,4,0.09357145243743527,0.15243994119415952,0.861944295661489,0.86339351763062,2.481349960384797,2.575510675632948
m15q5_preprocessed_calibrated.csv,15,5,0.04398148148148148,0.07600308641975309,0.8508771929824561,0.7715736040609137,2.7213162797780486,1.9127561412435725
m16q1_preprocessed_calibrated.csv,16,1,0.08082279587436629,0.18105005535807936,0.8731074260994953,0.9130994528484069,2.6907001738452316,2.8713146004070733
m16q2_preprocessed_calibrated.csv,16,2,0.026077097505668934,0.04837490551776266,0.7294685990338164,0.6197916666666666,1.8115530104918192,1.6612531725986028
m16q3_preprocessed_calibrated.csv,16,3,0.03414901387874361,0.04656683710737765,0.7192513368983957,0.6627450980392157,1.709553441443243,1.5117590075841651
m16q4_preprocessed_calibrated.csv,16,4,0.023226184122174205,0.049362097760024794,0.7272053372868792,0.6784094872689223,1.8385039327505255,1.86955201895818
m16q5_preprocessed_calibrated.csv,16,5,0.051400430901815945,0.08587257617728532,0.8682634730538922,0.7849462365591398,2.310443057719024,1.7553587272546052
m17q1_preprocessed_calibrated.csv,17,1,0.0328125,0.065,0.7333333333333333,0.6730769230769231,1.5985930690006727,1.784076648085105
