group,subject,q,fixation_count,saccade_count,total_duration_ms,kw_fix_duration_ms,inst_fix_duration_ms,bg_fix_duration_ms,kw_time_ratio,inst_time_ratio,bg_time_ratio,ttff_ms,scanpath_length,fixation_dispersion,revisit_kw_count,avg_revisit_interval,roi_trans_total,trans_kw_inst,trans_kw_bg,trans_inst_bg,fixation_amplitude_mean_deg,saccade_amplitude_mean_deg,saccade_maxvel_mean,saccade_meanvel_mean
control,control_group_1,4,1,0,24200000.0,24200000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,22.604003169792737,0.0,0.0,0.0
control,control_group_10,4,11,18,16501.000000000004,14301.000000000002,1711.000000000001,0.0,0.8666747469850311,0.1036906854130053,0.0,0.0,37.76388967415017,15.964083628762266,1,2200.000000000002,2,2,0,0,7.022597430584364,2.0979938707861208,52.476280860000394,50.52679474264831
control,control_group_11,4,11,16,34838.0,26160.0,8678.0,0.0,0.7509041850852517,0.24909581491474828,0.0,978.0,0.0,12.367767055058332,2,4339.0,3,3,0,0,12.651100416223596,0.0,41.47763170466027,41.47763170466027
control,control_group_12,4,16,17,28483.0,22370.0,5257.0,611.0,0.7853807534318716,0.18456623248955517,0.021451392058420813,123.0,13.246038732736896,16.477593235043198,2,3056.5,4,2,1,1,9.003845376606606,0.7791787489845232,55.97773777043989,55.35610393400897
control,control_group_13,4,21,24,40701.0,33000.0,6967.999999999999,0.0,0.8107908896587307,0.1711997248224859,0.0,1345.0,25.304191967968336,14.530490753110092,2,3850.5,3,3,0,0,8.594840403979395,1.0543413319986807,48.26953569774766,47.62145694225624
control,control_group_14,4,8,19,20047.0,16748.0,2932.0,0.0,0.8354367236993067,0.14625629770040405,0.0,3177.0,26.417861884946767,13.53908237848558,1,3299.0,1,1,0,0,16.670488868478742,1.3904137834182508,44.42865688717731,44.10751472961281
control,control_group_15,4,14,17,31656.0,27991.0,2079.000000000001,1342.0,0.8842241597169573,0.06567475360121307,0.04239322719231741,490.0,15.289239056054544,20.51509074068848,2,1832.5,4,2,1,1,6.718180269335525,0.8993670032973261,52.504619379276676,51.49203719146026
control,control_group_16,4,12,11,24569.0,19557.0,4279.0,0.0,0.7960030933289918,0.17416256257885954,0.0,4524.0,51.90343579666956,15.838352010034809,1,5012.0,1,1,0,0,11.20212697644998,4.718494163333596,71.20923622527658,67.61123386488708
control,control_group_17,4,18,27,22978.0,20288.0,1590.0,122.0,0.8829314996953608,0.06919662285664549,0.005309426407868396,123.0,67.29202197384649,15.016121075560692,1,2690.0,3,1,1,1,5.700256708395607,2.4922971101424625,53.45684360089989,51.28976358122965
control,control_group_18,4,13,14,21517.0,19556.0,1470.0,0.0,0.9088627596783938,0.06831807408095925,0.0,248.0,40.44511476325134,12.840035131245761,2,980.5,3,3,0,0,8.28420754815555,2.888936768803667,55.97671281028992,53.30600767778994
control,control_group_19,4,17,18,22854.0,20287.0,1833.0,0.0,0.887678305767043,0.08020477815699659,0.0,0.0,48.17122791775182,18.515901922205767,1,2567.0,2,2,0,0,7.11198107990592,2.67617932876399,60.01650844594628,57.85272187520512
control,control_group_20,4,13,18,21144.0,18090.0,2445.0,0.0,0.8555618615209989,0.11563564131668558,0.0,611.0,33.96357199733322,17.17925134079453,2,1527.0,3,3,0,0,4.575275109376339,1.8868651109629566,48.950548984919486,48.395901429763235
control,control_group_21,4,53,898,21540.99999999999,2507.999999999999,3253.0,2327.0,0.11642913513764451,0.15101434473794167,0.10802655401327706,177.0,759.5848203006777,19.415705013892655,6,3172.1666666666647,18,4,9,5,1.7091227178785755,0.8458628288426255,90.3532011418104,75.93954291125522
control,control_group_3,4,11,18,24198.0,21021.0,2687.000000000001,0.0,0.8687081576989834,0.11104223489544594,0.0,0.0,24.210742603838693,18.080371330883203,1,3177.0,2,2,0,0,8.55248603170024,1.3450412557688163,49.87688733157303,47.37912144656006
control,control_group_4,4,26,39,30564.0,22982.0,6481.0,122.0,0.7519303756052873,0.21204685250621647,0.003991624132966889,122.0,63.117754274944886,15.326090290736225,4,1895.5,7,6,1,0,6.268851854325693,1.6184039557678176,54.32567571832147,53.012692153957886
control,control_group_5,4,13,12,17966.0,11365.999999999998,5990.0,0.0,0.6326394300345095,0.333407547589892,0.0,367.0,39.86950050318951,15.360857808674083,2,3300.000000000001,4,4,0,0,8.689972657122691,3.322458375265793,65.72391809849468,61.309649378326164
control,control_group_6,4,21,30,20291.0,12956.0,6110.999999999998,490.0,0.6385096840963974,0.3011680055196884,0.024148637326893697,123.0,44.08293956691243,18.302960036380217,4,1833.75,8,4,3,1,10.574928807255663,1.469431318897081,61.765036215718624,59.07554686423289
control,control_group_7,4,18,25,33245.0,27258.0,5499.0,0.0,0.8199127688374191,0.16540833208001204,0.0,0.0,33.84640483644176,12.3714392747226,1,5987.0,2,2,0,0,10.835286923118453,1.3538561934576703,48.06110287852163,47.63830022638201
control,control_group_8,4,12,14,22493.0,14058.0,7702.0,0.0,0.6249944427155115,0.34241764104388034,0.0,244.0,56.877737575000616,15.780434906731026,2,4217.5,3,3,0,0,8.865004591090331,4.062695541071473,62.82297759512277,61.339207122563145
control,control_group_9,4,15,22,28476.0,19555.0,8797.0,0.0,0.6867186402584633,0.3089268155639837,0.0,2199.0,6.850937882217298,18.749745018222654,2,4460.5,3,3,0,0,11.404025403086774,0.31140626737351357,42.370320398456684,42.2002638242259
